Count	SampleID	Kingdom	Phylum	Class	Order	Family	Genus	Species
3	SRR1237783	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	unclassified Eggerthellaceae genus	unclassified Eggerthellaceae species
3	SRR1237783	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. TTH0-4
1	SRR1237783	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	Erysipelothrix rhusiopathiae
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Alloactinosynnema	Alloactinosynnema sp. L-07
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	unclassified Actinomyces species
2	SRR1237783	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	unclassified Sphingobium species
1	SRR1237783	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	unclassified Sphingopyxis species
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Intrasporangiaceae	Arsenicicoccus	Arsenicicoccus sp. oral taxon 190
1	SRR1237783	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	Ottowia sp. oral taxon 894
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia odontolytica
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella pyogenes
1	SRR1237783	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Cytobacillus	Cytobacillus ciccensis
41	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	unclassified Bifidobacterium species
2	SRR1237783	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. NR 4-1
2	SRR1237783	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	Limnohabitans sp. 63ED37-2
1	SRR1237783	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium kingsejongi
4	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
1	SRR1237783	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Herbinix	Herbinix luporum
333	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis
33	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium bifidum
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
3	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
2	SRR1237783	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Laribacter	Laribacter hongkongensis
5	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve
39	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium catenulatum
5	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium dentium
1	SRR1237783	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Thalassospira	unclassified Thalassospira species
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Intrasporangiaceae	Phycicoccus	Phycicoccus endophyticus
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	Rothia amarae
1	SRR1237783	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella sp. H567
1	SRR1237783	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter sp. P11F6
1	SRR1237783	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylovulum	Methylovulum psychrotolerans
1	SRR1237783	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. WG5
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas fimi
3	SRR1237783	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Turicibacteraceae	Turicibacter	Turicibacter sp. H121
2	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. No. 7
9	SRR1237783	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified Bacteroidales family	unclassified Bacteroidales genus	unclassified Bacteroidales species
4	SRR1237783	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Diaphorobacter	Diaphorobacter ruginosibacter
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	unclassified Corynebacterium species
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	Rothia aeria
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CdTB01
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. H-CA8f
1	SRR1237783	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium limosum
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. SM18
1	SRR1237783	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Catenovulum	Catenovulum sediminis
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionibacterium	unclassified Propionibacterium species
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium freudenreichii
1	SRR1237783	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella sp. N
4	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Arachnia	Arachnia propionica
1	SRR1237783	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Celeribacter	Celeribacter ethanolicus
5	SRR1237783	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. ACNIH2
1	SRR1237783	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. A12
34	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	unclassified Actinomycetia order	unclassified Actinomycetia family	unclassified Actinomycetia genus	unclassified Actinomycetia species
3	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	unclassified Mycobacteriaceae genus	unclassified Mycobacteriaceae species
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium	unclassified Mycobacterium species
1	SRR1237783	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga crassostreae
1	SRR1237783	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	Acidihalobacter ferrooxydans
2	SRR1237783	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	unclassified Burkholderiales family	Paucibacter	Paucibacter sp. KCTC 42545
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium smegmatis
31	SRR1237783	Bacteria	unclassified Bacteria phylum	unclassified Bacteria class	unclassified Bacteria order	unclassified Bacteria family	unclassified Bacteria genus	unclassified Bacteria species
1	SRR1237783	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus freudenreichii
3	SRR1237783	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax sp. PAMC 28711
6	SRR1237783	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Alicycliphilus	Alicycliphilus denitrificans
3	SRR1237783	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acutalibacter	Acutalibacter muris
3	SRR1237783	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	Delftia tsuruhatensis
1	SRR1237783	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus saigonensis
3	SRR1237783	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella timonensis
2	SRR1237783	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. LoGeW2-3
1	SRR1237783	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Candidatus Methylospira	Candidatus Methylospira mobilis
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	unclassified Amycolatopsis species
1	SRR1237783	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas panacisoli
1	SRR1237783	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	Haloplanus rallus
1	SRR1237783	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	Marinobacterium aestuarii
1	SRR1237783	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Neorhizobium	Neorhizobium sp. NCHU2750
1	SRR1237783	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Silicimonas	Silicimonas algicola
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Rhodococcus	unclassified Rhodococcus species
4	SRR1237783	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. MYb10
1	SRR1237783	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. GW460-12-10-14-LB2
5	SRR1237783	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium sp. YL32
7	SRR1237783	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. RAC01
